Country,Distance_CM
Argentina,60
Austria,64
Brazil,82
Bulgaria,64
Canada,86
China,85
Colombia,87
Croatia,90
Czechia,72
Estonia,93
Germany,67
Ghana,85
Greece,64
Hong Kong,88
Hungary,111
India,89
Indonesia,88
Iran,85
Italy,65
Kazakhstan,65
Kenya,90
Malaysia,70
Mexico,87
Nigeria,84
Norway,66
Pakistan,90
Peru,63
Poland,64
Portugal,70
Romania,92
Russia,68
Saudi Arabia,109
Serbia,64
Slovakia,64
South Korea,86
Spain,69
Switzerland,91
Turkey,91
Uganda,96
Ukraine,64
United Kingdom,84
US,66
