Country,Distance_cm
Romania,92
Hungary,111
Saudi Arabia,109
Turkey,91
Uganda,96
Pakistan,90
Estonia,93
Colombia,87
Hong Kong,88
China,85
Iran,85
Malaysia,70
Czechia,72
Portugal,70
Kenya,90
Switzerland,91
India,89
Indonesia,88
Croatia,90
Ghana,85
South Korea,86
Norway,66
Canada,86
Nigeria,84
Brazil,82
England,84
Mexico,87
Poland,64
Germany,67
US,66
Kazakhstan,65
Italy,65
Serbia,64
Greece,64
Spain,69
Russia,68
Slovakia,64
Austria,64
Ukraine,64
Bulgaria,64
Peru,63
Argentina,60
